report_id,entity_type,entity_value,analytical_relevance
TRN00512,domain,node-512-sync.example,Possible C2/phishing infrastructure domain
TRN00513,ipv4,198.51.100.74,Possible C2 or scanning source/destination address
TRN00513,domain,node-513-sync.example,Possible C2/phishing infrastructure domain
TRN00513,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00515,ipv4,198.51.100.76,Possible C2 or scanning source/destination address
TRN00515,domain,node-515-sync.example,Possible C2/phishing infrastructure domain
TRN00516,ipv4,198.51.100.77,Possible C2 or scanning source/destination address
TRN00516,domain,node-516-sync.example,Possible C2/phishing infrastructure domain
TRN00518,ipv4,198.51.100.79,Possible C2 or scanning source/destination address
TRN00518,domain,node-518-sync.example,Possible C2/phishing infrastructure domain
TRN00519,ipv4,198.51.100.80,Possible C2 or scanning source/destination address
TRN00519,domain,node-519-sync.example,Possible C2/phishing infrastructure domain
TRN00519,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00532,ipv4,198.51.100.93,Possible C2 or scanning source/destination address
TRN00532,domain,node-532-sync.example,Possible C2/phishing infrastructure domain
TRN00534,ipv4,198.51.100.95,Possible C2 or scanning source/destination address
TRN00534,domain,node-534-sync.example,Possible C2/phishing infrastructure domain
TRN00536,ipv4,198.51.100.97,Possible C2 or scanning source/destination address
TRN00536,domain,node-536-sync.example,Possible C2/phishing infrastructure domain
TRN00536,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00537,ipv4,198.51.100.98,Possible C2 or scanning source/destination address
TRN00537,domain,node-537-sync.example,Possible C2/phishing infrastructure domain
TRN00541,ipv4,198.51.100.102,Possible C2 or scanning source/destination address
TRN00541,domain,node-541-sync.example,Possible C2/phishing infrastructure domain
TRN00546,ipv4,198.51.100.107,Possible C2 or scanning source/destination address
TRN00546,domain,node-546-sync.example,Possible C2/phishing infrastructure domain
TRN00549,ipv4,198.51.100.110,Possible C2 or scanning source/destination address
TRN00549,domain,node-549-sync.example,Possible C2/phishing infrastructure domain
TRN00551,ipv4,198.51.100.112,Possible C2 or scanning source/destination address
TRN00551,domain,node-551-sync.example,Possible C2/phishing infrastructure domain
TRN00551,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00554,ipv4,198.51.100.115,Possible C2 or scanning source/destination address
TRN00554,domain,node-554-sync.example,Possible C2/phishing infrastructure domain
TRN00557,ipv4,198.51.100.118,Possible C2 or scanning source/destination address
TRN00557,domain,node-557-sync.example,Possible C2/phishing infrastructure domain
TRN00559,ipv4,198.51.100.120,Possible C2 or scanning source/destination address
TRN00559,domain,node-559-sync.example,Possible C2/phishing infrastructure domain
TRN00559,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00560,ipv4,198.51.100.121,Possible C2 or scanning source/destination address
TRN00560,domain,node-560-sync.example,Possible C2/phishing infrastructure domain
TRN00564,ipv4,198.51.100.125,Possible C2 or scanning source/destination address
TRN00564,domain,node-564-sync.example,Possible C2/phishing infrastructure domain
TRN00564,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00564,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00566,ipv4,198.51.100.127,Possible C2 or scanning source/destination address
TRN00566,domain,node-566-sync.example,Possible C2/phishing infrastructure domain
TRN00567,ipv4,198.51.100.128,Possible C2 or scanning source/destination address
TRN00567,domain,node-567-sync.example,Possible C2/phishing infrastructure domain
TRN00570,ipv4,198.51.100.131,Possible C2 or scanning source/destination address
TRN00570,domain,node-570-sync.example,Possible C2/phishing infrastructure domain
TRN00572,ipv4,198.51.100.133,Possible C2 or scanning source/destination address
TRN00572,domain,node-572-sync.example,Possible C2/phishing infrastructure domain
TRN00572,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00573,ipv4,198.51.100.134,Possible C2 or scanning source/destination address
TRN00573,domain,node-573-sync.example,Possible C2/phishing infrastructure domain
TRN00575,ipv4,198.51.100.136,Possible C2 or scanning source/destination address
TRN00575,domain,node-575-sync.example,Possible C2/phishing infrastructure domain
TRN00582,ipv4,198.51.100.143,Possible C2 or scanning source/destination address
TRN00582,domain,node-582-sync.example,Possible C2/phishing infrastructure domain
TRN00588,ipv4,198.51.100.149,Possible C2 or scanning source/destination address
TRN00588,domain,node-588-sync.example,Possible C2/phishing infrastructure domain
TRN00590,ipv4,198.51.100.151,Possible C2 or scanning source/destination address
TRN00590,domain,node-590-sync.example,Possible C2/phishing infrastructure domain
TRN00592,ipv4,198.51.100.153,Possible C2 or scanning source/destination address
TRN00592,domain,node-592-sync.example,Possible C2/phishing infrastructure domain
TRN00593,ipv4,198.51.100.154,Possible C2 or scanning source/destination address
TRN00593,domain,node-593-sync.example,Possible C2/phishing infrastructure domain
TRN00594,ipv4,198.51.100.155,Possible C2 or scanning source/destination address
TRN00594,domain,node-594-sync.example,Possible C2/phishing infrastructure domain
TRN00594,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00595,ipv4,198.51.100.156,Possible C2 or scanning source/destination address
TRN00595,domain,node-595-sync.example,Possible C2/phishing infrastructure domain
TRN00596,ipv4,198.51.100.157,Possible C2 or scanning source/destination address
TRN00596,domain,node-596-sync.example,Possible C2/phishing infrastructure domain
TRN00596,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00600,ipv4,198.51.100.161,Possible C2 or scanning source/destination address
TRN00600,domain,node-600-sync.example,Possible C2/phishing infrastructure domain
TRN00600,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00601,ipv4,198.51.100.162,Possible C2 or scanning source/destination address
TRN00601,domain,node-601-sync.example,Possible C2/phishing infrastructure domain
TRN00602,ipv4,198.51.100.163,Possible C2 or scanning source/destination address
TRN00602,domain,node-602-sync.example,Possible C2/phishing infrastructure domain
TRN00604,ipv4,198.51.100.165,Possible C2 or scanning source/destination address
TRN00604,domain,node-604-sync.example,Possible C2/phishing infrastructure domain
TRN00618,ipv4,198.51.100.179,Possible C2 or scanning source/destination address
TRN00618,domain,node-618-sync.example,Possible C2/phishing infrastructure domain
TRN00618,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00619,ipv4,198.51.100.180,Possible C2 or scanning source/destination address
TRN00619,domain,node-619-sync.example,Possible C2/phishing infrastructure domain
TRN00621,ipv4,198.51.100.182,Possible C2 or scanning source/destination address
TRN00621,domain,node-621-sync.example,Possible C2/phishing infrastructure domain
TRN00622,ipv4,198.51.100.183,Possible C2 or scanning source/destination address
TRN00622,domain,node-622-sync.example,Possible C2/phishing infrastructure domain
TRN00630,ipv4,198.51.100.191,Possible C2 or scanning source/destination address
TRN00630,domain,node-630-sync.example,Possible C2/phishing infrastructure domain
TRN00631,ipv4,198.51.100.192,Possible C2 or scanning source/destination address
TRN00631,domain,node-631-sync.example,Possible C2/phishing infrastructure domain
TRN00640,ipv4,198.51.100.201,Possible C2 or scanning source/destination address
TRN00640,domain,node-640-sync.example,Possible C2/phishing infrastructure domain
TRN00642,ipv4,198.51.100.203,Possible C2 or scanning source/destination address
TRN00642,domain,node-642-sync.example,Possible C2/phishing infrastructure domain
TRN00642,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00642,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00643,ipv4,198.51.100.204,Possible C2 or scanning source/destination address
TRN00643,domain,node-643-sync.example,Possible C2/phishing infrastructure domain
TRN00643,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00648,ipv4,198.51.100.209,Possible C2 or scanning source/destination address
TRN00648,domain,node-648-sync.example,Possible C2/phishing infrastructure domain
TRN00648,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00655,ipv4,198.51.100.216,Possible C2 or scanning source/destination address
TRN00655,domain,node-655-sync.example,Possible C2/phishing infrastructure domain
TRN00657,ipv4,198.51.100.218,Possible C2 or scanning source/destination address
TRN00657,domain,node-657-sync.example,Possible C2/phishing infrastructure domain
TRN00659,ipv4,198.51.100.220,Possible C2 or scanning source/destination address
TRN00659,domain,node-659-sync.example,Possible C2/phishing infrastructure domain
TRN00659,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00660,ipv4,198.51.100.1,Possible C2 or scanning source/destination address
TRN00660,domain,node-660-sync.example,Possible C2/phishing infrastructure domain
TRN00661,ipv4,198.51.100.2,Possible C2 or scanning source/destination address
TRN00661,domain,node-661-sync.example,Possible C2/phishing infrastructure domain
TRN00662,ipv4,198.51.100.3,Possible C2 or scanning source/destination address
TRN00662,domain,node-662-sync.example,Possible C2/phishing infrastructure domain
TRN00663,ipv4,198.51.100.4,Possible C2 or scanning source/destination address
TRN00663,domain,node-663-sync.example,Possible C2/phishing infrastructure domain
TRN00664,ipv4,198.51.100.5,Possible C2 or scanning source/destination address
TRN00664,domain,node-664-sync.example,Possible C2/phishing infrastructure domain
TRN00664,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00666,ipv4,198.51.100.7,Possible C2 or scanning source/destination address
TRN00666,domain,node-666-sync.example,Possible C2/phishing infrastructure domain
TRN00667,ipv4,198.51.100.8,Possible C2 or scanning source/destination address
TRN00667,domain,node-667-sync.example,Possible C2/phishing infrastructure domain
TRN00667,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00669,ipv4,198.51.100.10,Possible C2 or scanning source/destination address
TRN00669,domain,node-669-sync.example,Possible C2/phishing infrastructure domain
TRN00669,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00670,ipv4,198.51.100.11,Possible C2 or scanning source/destination address
TRN00670,domain,node-670-sync.example,Possible C2/phishing infrastructure domain
TRN00673,ipv4,198.51.100.14,Possible C2 or scanning source/destination address
TRN00673,domain,node-673-sync.example,Possible C2/phishing infrastructure domain
TRN00673,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00674,ipv4,198.51.100.15,Possible C2 or scanning source/destination address
TRN00674,domain,node-674-sync.example,Possible C2/phishing infrastructure domain
TRN00674,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00675,ipv4,198.51.100.16,Possible C2 or scanning source/destination address
TRN00675,domain,node-675-sync.example,Possible C2/phishing infrastructure domain
TRN00675,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00676,ipv4,198.51.100.17,Possible C2 or scanning source/destination address
TRN00676,domain,node-676-sync.example,Possible C2/phishing infrastructure domain
TRN00676,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00681,ipv4,198.51.100.22,Possible C2 or scanning source/destination address
TRN00681,domain,node-681-sync.example,Possible C2/phishing infrastructure domain
TRN00683,ipv4,198.51.100.24,Possible C2 or scanning source/destination address
TRN00683,domain,node-683-sync.example,Possible C2/phishing infrastructure domain
TRN00685,ipv4,198.51.100.26,Possible C2 or scanning source/destination address
TRN00685,domain,node-685-sync.example,Possible C2/phishing infrastructure domain
TRN00688,ipv4,198.51.100.29,Possible C2 or scanning source/destination address
TRN00688,domain,node-688-sync.example,Possible C2/phishing infrastructure domain
TRN00695,ipv4,198.51.100.36,Possible C2 or scanning source/destination address
TRN00695,domain,node-695-sync.example,Possible C2/phishing infrastructure domain
TRN00702,ipv4,198.51.100.43,Possible C2 or scanning source/destination address
TRN00702,domain,node-702-sync.example,Possible C2/phishing infrastructure domain
TRN00702,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00705,ipv4,198.51.100.46,Possible C2 or scanning source/destination address
TRN00705,domain,node-705-sync.example,Possible C2/phishing infrastructure domain
TRN00706,ipv4,198.51.100.47,Possible C2 or scanning source/destination address
TRN00706,domain,node-706-sync.example,Possible C2/phishing infrastructure domain
TRN00706,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00708,ipv4,198.51.100.49,Possible C2 or scanning source/destination address
TRN00708,domain,node-708-sync.example,Possible C2/phishing infrastructure domain
TRN00708,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00709,ipv4,198.51.100.50,Possible C2 or scanning source/destination address
TRN00709,domain,node-709-sync.example,Possible C2/phishing infrastructure domain
TRN00711,ipv4,198.51.100.52,Possible C2 or scanning source/destination address
TRN00711,domain,node-711-sync.example,Possible C2/phishing infrastructure domain
TRN00712,ipv4,198.51.100.53,Possible C2 or scanning source/destination address
TRN00712,domain,node-712-sync.example,Possible C2/phishing infrastructure domain
TRN00717,ipv4,198.51.100.58,Possible C2 or scanning source/destination address
TRN00717,domain,node-717-sync.example,Possible C2/phishing infrastructure domain
TRN00719,ipv4,198.51.100.60,Possible C2 or scanning source/destination address
TRN00719,domain,node-719-sync.example,Possible C2/phishing infrastructure domain
TRN00721,ipv4,198.51.100.62,Possible C2 or scanning source/destination address
TRN00721,domain,node-721-sync.example,Possible C2/phishing infrastructure domain
TRN00721,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00726,ipv4,198.51.100.67,Possible C2 or scanning source/destination address
TRN00726,domain,node-726-sync.example,Possible C2/phishing infrastructure domain
TRN00728,ipv4,198.51.100.69,Possible C2 or scanning source/destination address
TRN00728,domain,node-728-sync.example,Possible C2/phishing infrastructure domain
TRN00728,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00736,ipv4,198.51.100.77,Possible C2 or scanning source/destination address
TRN00736,domain,node-736-sync.example,Possible C2/phishing infrastructure domain
TRN00736,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00737,ipv4,198.51.100.78,Possible C2 or scanning source/destination address
TRN00737,domain,node-737-sync.example,Possible C2/phishing infrastructure domain
TRN00737,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00739,ipv4,198.51.100.80,Possible C2 or scanning source/destination address
TRN00739,domain,node-739-sync.example,Possible C2/phishing infrastructure domain
TRN00740,ipv4,198.51.100.81,Possible C2 or scanning source/destination address
TRN00740,domain,node-740-sync.example,Possible C2/phishing infrastructure domain
TRN00744,ipv4,198.51.100.85,Possible C2 or scanning source/destination address
TRN00744,domain,node-744-sync.example,Possible C2/phishing infrastructure domain
TRN00745,ipv4,198.51.100.86,Possible C2 or scanning source/destination address
TRN00745,domain,node-745-sync.example,Possible C2/phishing infrastructure domain
TRN00749,ipv4,198.51.100.90,Possible C2 or scanning source/destination address
TRN00749,domain,node-749-sync.example,Possible C2/phishing infrastructure domain
TRN00752,ipv4,198.51.100.93,Possible C2 or scanning source/destination address
TRN00752,domain,node-752-sync.example,Possible C2/phishing infrastructure domain
TRN00752,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00758,ipv4,198.51.100.99,Possible C2 or scanning source/destination address
TRN00758,domain,node-758-sync.example,Possible C2/phishing infrastructure domain
TRN00764,ipv4,198.51.100.105,Possible C2 or scanning source/destination address
TRN00764,domain,node-764-sync.example,Possible C2/phishing infrastructure domain
TRN00770,ipv4,198.51.100.111,Possible C2 or scanning source/destination address
TRN00770,domain,node-770-sync.example,Possible C2/phishing infrastructure domain
TRN00772,ipv4,198.51.100.113,Possible C2 or scanning source/destination address
TRN00772,domain,node-772-sync.example,Possible C2/phishing infrastructure domain
TRN00773,ipv4,198.51.100.114,Possible C2 or scanning source/destination address
TRN00773,domain,node-773-sync.example,Possible C2/phishing infrastructure domain
TRN00773,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00774,ipv4,198.51.100.115,Possible C2 or scanning source/destination address
TRN00774,domain,node-774-sync.example,Possible C2/phishing infrastructure domain
TRN00776,ipv4,198.51.100.117,Possible C2 or scanning source/destination address
TRN00776,domain,node-776-sync.example,Possible C2/phishing infrastructure domain
TRN00778,ipv4,198.51.100.119,Possible C2 or scanning source/destination address
TRN00778,domain,node-778-sync.example,Possible C2/phishing infrastructure domain
TRN00778,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00780,ipv4,198.51.100.121,Possible C2 or scanning source/destination address
TRN00780,domain,node-780-sync.example,Possible C2/phishing infrastructure domain
TRN00781,ipv4,198.51.100.122,Possible C2 or scanning source/destination address
TRN00781,domain,node-781-sync.example,Possible C2/phishing infrastructure domain
TRN00781,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00782,ipv4,198.51.100.123,Possible C2 or scanning source/destination address
TRN00782,domain,node-782-sync.example,Possible C2/phishing infrastructure domain
TRN00785,ipv4,198.51.100.126,Possible C2 or scanning source/destination address
TRN00785,domain,node-785-sync.example,Possible C2/phishing infrastructure domain
TRN00793,ipv4,198.51.100.134,Possible C2 or scanning source/destination address
TRN00793,domain,node-793-sync.example,Possible C2/phishing infrastructure domain
TRN00793,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00799,ipv4,198.51.100.140,Possible C2 or scanning source/destination address
TRN00799,domain,node-799-sync.example,Possible C2/phishing infrastructure domain
TRN00800,ipv4,198.51.100.141,Possible C2 or scanning source/destination address
TRN00800,domain,node-800-sync.example,Possible C2/phishing infrastructure domain
TRN00800,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00801,ipv4,198.51.100.142,Possible C2 or scanning source/destination address
TRN00801,domain,node-801-sync.example,Possible C2/phishing infrastructure domain
TRN00807,ipv4,198.51.100.148,Possible C2 or scanning source/destination address
TRN00807,domain,node-807-sync.example,Possible C2/phishing infrastructure domain
TRN00807,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00808,ipv4,198.51.100.149,Possible C2 or scanning source/destination address
TRN00808,domain,node-808-sync.example,Possible C2/phishing infrastructure domain
TRN00808,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00809,ipv4,198.51.100.150,Possible C2 or scanning source/destination address
TRN00809,domain,node-809-sync.example,Possible C2/phishing infrastructure domain
TRN00812,ipv4,198.51.100.153,Possible C2 or scanning source/destination address
TRN00812,domain,node-812-sync.example,Possible C2/phishing infrastructure domain
TRN00812,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00813,ipv4,198.51.100.154,Possible C2 or scanning source/destination address
TRN00813,domain,node-813-sync.example,Possible C2/phishing infrastructure domain
TRN00813,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00815,ipv4,198.51.100.156,Possible C2 or scanning source/destination address
TRN00815,domain,node-815-sync.example,Possible C2/phishing infrastructure domain
TRN00815,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00816,ipv4,198.51.100.157,Possible C2 or scanning source/destination address
TRN00816,domain,node-816-sync.example,Possible C2/phishing infrastructure domain
TRN00823,ipv4,198.51.100.164,Possible C2 or scanning source/destination address
TRN00823,domain,node-823-sync.example,Possible C2/phishing infrastructure domain
TRN00826,ipv4,198.51.100.167,Possible C2 or scanning source/destination address
TRN00826,domain,node-826-sync.example,Possible C2/phishing infrastructure domain
TRN00827,ipv4,198.51.100.168,Possible C2 or scanning source/destination address
TRN00827,domain,node-827-sync.example,Possible C2/phishing infrastructure domain
TRN00829,ipv4,198.51.100.170,Possible C2 or scanning source/destination address
TRN00829,domain,node-829-sync.example,Possible C2/phishing infrastructure domain
TRN00830,ipv4,198.51.100.171,Possible C2 or scanning source/destination address
TRN00830,domain,node-830-sync.example,Possible C2/phishing infrastructure domain
TRN00836,ipv4,198.51.100.177,Possible C2 or scanning source/destination address
TRN00836,domain,node-836-sync.example,Possible C2/phishing infrastructure domain
TRN00837,ipv4,198.51.100.178,Possible C2 or scanning source/destination address
TRN00837,domain,node-837-sync.example,Possible C2/phishing infrastructure domain
TRN00838,ipv4,198.51.100.179,Possible C2 or scanning source/destination address
TRN00838,domain,node-838-sync.example,Possible C2/phishing infrastructure domain
TRN00842,ipv4,198.51.100.183,Possible C2 or scanning source/destination address
TRN00842,domain,node-842-sync.example,Possible C2/phishing infrastructure domain
TRN00850,ipv4,198.51.100.191,Possible C2 or scanning source/destination address
TRN00850,domain,node-850-sync.example,Possible C2/phishing infrastructure domain
TRN00851,ipv4,198.51.100.192,Possible C2 or scanning source/destination address
TRN00851,domain,node-851-sync.example,Possible C2/phishing infrastructure domain
TRN00854,ipv4,198.51.100.195,Possible C2 or scanning source/destination address
TRN00854,domain,node-854-sync.example,Possible C2/phishing infrastructure domain
TRN00854,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00855,ipv4,198.51.100.196,Possible C2 or scanning source/destination address
TRN00855,domain,node-855-sync.example,Possible C2/phishing infrastructure domain
TRN00856,ipv4,198.51.100.197,Possible C2 or scanning source/destination address
TRN00856,domain,node-856-sync.example,Possible C2/phishing infrastructure domain
TRN00858,ipv4,198.51.100.199,Possible C2 or scanning source/destination address
TRN00858,domain,node-858-sync.example,Possible C2/phishing infrastructure domain
TRN00858,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00869,ipv4,198.51.100.210,Possible C2 or scanning source/destination address
TRN00869,domain,node-869-sync.example,Possible C2/phishing infrastructure domain
TRN00870,ipv4,198.51.100.211,Possible C2 or scanning source/destination address
TRN00870,domain,node-870-sync.example,Possible C2/phishing infrastructure domain
TRN00870,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00871,ipv4,198.51.100.212,Possible C2 or scanning source/destination address
TRN00871,domain,node-871-sync.example,Possible C2/phishing infrastructure domain
TRN00871,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00873,ipv4,198.51.100.214,Possible C2 or scanning source/destination address
TRN00873,domain,node-873-sync.example,Possible C2/phishing infrastructure domain
TRN00877,ipv4,198.51.100.218,Possible C2 or scanning source/destination address
TRN00877,domain,node-877-sync.example,Possible C2/phishing infrastructure domain
TRN00877,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00880,ipv4,198.51.100.1,Possible C2 or scanning source/destination address
TRN00880,domain,node-880-sync.example,Possible C2/phishing infrastructure domain
TRN00880,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00883,ipv4,198.51.100.4,Possible C2 or scanning source/destination address
TRN00883,domain,node-883-sync.example,Possible C2/phishing infrastructure domain
TRN00886,ipv4,198.51.100.7,Possible C2 or scanning source/destination address
TRN00886,domain,node-886-sync.example,Possible C2/phishing infrastructure domain
TRN00892,ipv4,198.51.100.13,Possible C2 or scanning source/destination address
TRN00892,domain,node-892-sync.example,Possible C2/phishing infrastructure domain
TRN00892,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00893,ipv4,198.51.100.14,Possible C2 or scanning source/destination address
TRN00893,domain,node-893-sync.example,Possible C2/phishing infrastructure domain
TRN00894,ipv4,198.51.100.15,Possible C2 or scanning source/destination address
TRN00894,domain,node-894-sync.example,Possible C2/phishing infrastructure domain
TRN00895,ipv4,198.51.100.16,Possible C2 or scanning source/destination address
TRN00895,domain,node-895-sync.example,Possible C2/phishing infrastructure domain
TRN00897,ipv4,198.51.100.18,Possible C2 or scanning source/destination address
TRN00897,domain,node-897-sync.example,Possible C2/phishing infrastructure domain
TRN00905,ipv4,198.51.100.26,Possible C2 or scanning source/destination address
TRN00905,domain,node-905-sync.example,Possible C2/phishing infrastructure domain
TRN00908,ipv4,198.51.100.29,Possible C2 or scanning source/destination address
TRN00908,domain,node-908-sync.example,Possible C2/phishing infrastructure domain
TRN00910,ipv4,198.51.100.31,Possible C2 or scanning source/destination address
TRN00910,domain,node-910-sync.example,Possible C2/phishing infrastructure domain
TRN00915,ipv4,198.51.100.36,Possible C2 or scanning source/destination address
TRN00915,domain,node-915-sync.example,Possible C2/phishing infrastructure domain
TRN00915,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00924,ipv4,198.51.100.45,Possible C2 or scanning source/destination address
TRN00924,domain,node-924-sync.example,Possible C2/phishing infrastructure domain
TRN00924,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00927,ipv4,198.51.100.48,Possible C2 or scanning source/destination address
TRN00927,domain,node-927-sync.example,Possible C2/phishing infrastructure domain
TRN00930,ipv4,198.51.100.51,Possible C2 or scanning source/destination address
TRN00930,domain,node-930-sync.example,Possible C2/phishing infrastructure domain
TRN00931,ipv4,198.51.100.52,Possible C2 or scanning source/destination address
TRN00931,domain,node-931-sync.example,Possible C2/phishing infrastructure domain
TRN00931,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00933,ipv4,198.51.100.54,Possible C2 or scanning source/destination address
TRN00933,domain,node-933-sync.example,Possible C2/phishing infrastructure domain
TRN00934,ipv4,198.51.100.55,Possible C2 or scanning source/destination address
TRN00934,domain,node-934-sync.example,Possible C2/phishing infrastructure domain
TRN00942,ipv4,198.51.100.63,Possible C2 or scanning source/destination address
TRN00942,domain,node-942-sync.example,Possible C2/phishing infrastructure domain
TRN00945,ipv4,198.51.100.66,Possible C2 or scanning source/destination address
TRN00945,domain,node-945-sync.example,Possible C2/phishing infrastructure domain
TRN00945,malware,Dustrat,Named actor/malware associated with energy-sector targeting
TRN00946,ipv4,198.51.100.67,Possible C2 or scanning source/destination address
TRN00946,domain,node-946-sync.example,Possible C2/phishing infrastructure domain
TRN00949,ipv4,198.51.100.70,Possible C2 or scanning source/destination address
TRN00949,domain,node-949-sync.example,Possible C2/phishing infrastructure domain
TRN00949,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00949,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00950,ipv4,198.51.100.71,Possible C2 or scanning source/destination address
TRN00950,domain,node-950-sync.example,Possible C2/phishing infrastructure domain
TRN00952,ipv4,198.51.100.73,Possible C2 or scanning source/destination address
TRN00952,domain,node-952-sync.example,Possible C2/phishing infrastructure domain
TRN00955,ipv4,198.51.100.76,Possible C2 or scanning source/destination address
TRN00955,domain,node-955-sync.example,Possible C2/phishing infrastructure domain
TRN00961,ipv4,198.51.100.82,Possible C2 or scanning source/destination address
TRN00961,domain,node-961-sync.example,Possible C2/phishing infrastructure domain
TRN00963,ipv4,198.51.100.84,Possible C2 or scanning source/destination address
TRN00963,domain,node-963-sync.example,Possible C2/phishing infrastructure domain
TRN00964,ipv4,198.51.100.85,Possible C2 or scanning source/destination address
TRN00964,domain,node-964-sync.example,Possible C2/phishing infrastructure domain
TRN00966,ipv4,198.51.100.87,Possible C2 or scanning source/destination address
TRN00966,domain,node-966-sync.example,Possible C2/phishing infrastructure domain
TRN00972,ipv4,198.51.100.93,Possible C2 or scanning source/destination address
TRN00972,domain,node-972-sync.example,Possible C2/phishing infrastructure domain
TRN00979,ipv4,198.51.100.100,Possible C2 or scanning source/destination address
TRN00979,domain,node-979-sync.example,Possible C2/phishing infrastructure domain
TRN00979,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00982,ipv4,198.51.100.103,Possible C2 or scanning source/destination address
TRN00982,domain,node-982-sync.example,Possible C2/phishing infrastructure domain
TRN00984,ipv4,198.51.100.105,Possible C2 or scanning source/destination address
TRN00984,domain,node-984-sync.example,Possible C2/phishing infrastructure domain
TRN00984,threat_actor,Kalahari Jackal,Named actor/malware associated with energy-sector targeting
TRN00988,ipv4,198.51.100.109,Possible C2 or scanning source/destination address
TRN00988,domain,node-988-sync.example,Possible C2/phishing infrastructure domain
TRN00989,ipv4,198.51.100.110,Possible C2 or scanning source/destination address
TRN00989,domain,node-989-sync.example,Possible C2/phishing infrastructure domain
TRN00990,ipv4,198.51.100.111,Possible C2 or scanning source/destination address
TRN00990,domain,node-990-sync.example,Possible C2/phishing infrastructure domain
TRN00990,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
TRN00991,ipv4,198.51.100.112,Possible C2 or scanning source/destination address
TRN00991,domain,node-991-sync.example,Possible C2/phishing infrastructure domain
TRN00991,malware,Sandstorm Loader,Named actor/malware associated with energy-sector targeting
